"","year","state","division","total_population","fss","firearm_suicides","total_suicides","white_fss","nonwhite_fss"
"157",2013,"Arkansas","West South Central",2959373,0.624031008,322,516,0.63190186,0.5
"158",2013,"California","Pacific",38332521,0.390310559,1571,4025,0.412867874,0.230769232
"159",2013,"Colorado","Mountain",5268367,0.485600794,489,1007,0.493207932,0
"160",2013,"Connecticut","New England",3596080,0.278787879,92,330,0.270967752,0
"162",2013,"District of Columbia","South Atlantic",646449,0,0,38,0,0
"163",2013,"Florida","South Atlantic",19552860,0.534836066,1566,2928,0.544682443,0.370370358
"164",2013,"Georgia","South Atlantic",9992167,0.616336634,747,1212,0.62608695,0.573964477
"165",2013,"Hawaii","Pacific",1404054,0.16374269,28,171,0.195121944,0
"167",2013,"Illinois","East North Central",12882135,0.375473126,496,1321,0.381192267,0.289256185
"168",2013,"Indiana","East North Central",6570902,0.554025424,523,944,0.564189196,0.377777785
"170",2013,"Kansas","West North Central",2893957,0.567058824,241,425,0.572519064,0.588235319
"171",2013,"Kentucky","East South Central",4395295,0.646219686,453,701,0.655737698,0.5
"172",2013,"Louisiana","West South Central",4625470,0.699828473,408,583,0.708582819,0.613333344
"174",2013,"Maryland","South Atlantic",5928814,0.452464789,257,568,0.484716147,0.313725501
"175",2013,"Massachusetts","New England",6692824,0.195804196,112,572,0.194706991,0
"176",2013,"Michigan","East North Central",9895622,0.523291925,674,1288,0.52645272,0.382113814
"177",2013,"Minnesota","West North Central",5420380,0.5,339,678,0.524271846,0
"178",2013,"Mississippi","East South Central",2991207,0.719072165,279,388,0.735562325,0.563636363
"179",2013,"Missouri","West North Central",6044171,0.579770594,556,959,0.586399078,0.366666675
"180",2013,"Montana","Mountain",1015165,0.604938272,147,243,0.646226406,0
"182",2013,"Nevada","Mountain",2790136,0.547842402,292,533,0.559183657,0.303030312
"184",2013,"New Jersey","Middle Atlantic",8899339,0.256613757,194,756,0.260416657,0.15384616
"185",2013,"New Mexico","Mountain",2085287,0.515081206,222,431,0.541237116,0
"186",2013,"New York","Middle Atlantic",19651127,0.276292335,465,1683,0.290456444,0.172995776
"187",2013,"North Carolina","South Atlantic",9848060,0.60046729,771,1284,0.608733654,0.560344815
"188",2013,"North Dakota","West North Central",723393,0.59375,76,128,0.615384638,0
"189",2013,"Ohio","East North Central",11570808,0.524590164,800,1525,0.53285712,0.354838699
"190",2013,"Oklahoma","West South Central",3850568,0.656060606,433,660,0.66551125,0.379746825
"191",2013,"Oregon","Pacific",3930065,0.55730659,389,698,0.563444138,0
"192",2013,"Pennsylvania","Middle Atlantic",12773801,0.513710129,918,1787,0.520047903,0.366972476
"194",2013,"South Carolina","South Atlantic",4774839,0.675287356,470,696,0.676800013,0.714285731
"195",2013,"South Dakota","West North Central",844877,0.482993197,71,147,0.516393423,0
"196",2013,"Tennessee","East South Central",6495978,0.65631068,676,1030,0.66112268,0.722222209
"197",2013,"Texas","West South Central",26448193,0.582651391,1780,3055,0.588424444,0.48046875
"198",2013,"Utah","Mountain",2900872,0.512152778,295,576,0.51098901,0
"200",2013,"Virginia","South Atlantic",8260405,0.561682243,601,1070,0.569327712,0.460869551
"201",2013,"Washington","Pacific",6971406,0.47030185,483,1027,0.476706386,0.390804589
"203",2013,"Wisconsin","East North Central",5742713,0.514117647,437,850,0.523398995,0
"205",2014,"Alabama","East South Central",4849377,0.66993007,479,715,0.662015498,0.676470578
"206",2014,"Alaska","Pacific",736732,0.688622754,115,167,0.615384638,0.75
"207",2014,"Arizona","Mountain",6731484,0.54903537,683,1244,0.573476732,0.310344815
"208",2014,"Arkansas","West South Central",2966369,0.627184466,323,515,0.633123696,0.689655185
"209",2014,"California","Pacific",38802500,0.375415282,1582,4214,0.395839036,0.208556145
"210",2014,"Colorado","Mountain",5355866,0.497691597,539,1083,0.508720934,0
"211",2014,"Connecticut","New England",3596677,0.329815303,125,379,0.333333343,0
"213",2014,"District of Columbia","South Atlantic",658893,0.269230769,14,52,0,0
"214",2014,"Florida","South Atlantic",19893297,0.50675453,1538,3035,0.508462608,0.420212775
"215",2014,"Georgia","South Atlantic",10097343,0.649420849,841,1295,0.658181846,0.51098901
"216",2014,"Hawaii","Pacific",1419561,0.161764706,33,204,0.214953274,0
"218",2014,"Illinois","East North Central",12880580,0.381258941,533,1398,0.376674533,0.3828125
"219",2014,"Indiana","East North Central",6596855,0.556962025,528,948,0.559246957,0.714285731
"221",2014,"Kansas","West North Central",2904021,0.523076923,238,455,0.538461566,0
"222",2014,"Kentucky","East South Central",4413457,0.645604396,470,728,0.656565666,0.458333343
"223",2014,"Louisiana","West South Central",4649676,0.653902798,444,679,0.668941975,0.5
"225",2014,"Maryland","South Atlantic",5976407,0.45785124,277,605,0.451745391,0.472222209
"226",2014,"Massachusetts","New England",6745408,0.219224283,130,593,0.225402504,0
"227",2014,"Michigan","East North Central",9909877,0.498144024,671,1347,0.502838612,0.336363643
"228",2014,"Minnesota","West North Central",5457173,0.448979592,308,686,0.477491975,0
"229",2014,"Mississippi","East South Central",2994079,0.660526316,251,380,0.662538707,0.739130437
"230",2014,"Missouri","West North Central",6063589,0.578171091,588,1017,0.583592951,0.404255331
"231",2014,"Montana","Mountain",1023579,0.593625498,149,251,0.616740108,0
"233",2014,"Nevada","Mountain",2839099,0.544014085,309,568,0.549514592,0.357142866
"235",2014,"New Jersey","Middle Atlantic",8938175,0.24744898,194,784,0.255474448,0.101010099
"236",2014,"New Mexico","Mountain",2085572,0.543429844,244,449,0.560794055,0
"237",2014,"New York","Middle Atlantic",19746227,0.279811098,474,1694,0.307798475,0.093877554
"238",2014,"North Carolina","South Atlantic",9943964,0.562130178,760,1352,0.578991592,0.380645156
"240",2014,"Ohio","East North Central",11594163,0.499328859,744,1490,0.499634236,0.382608682
"241",2014,"Oklahoma","West South Central",3878051,0.593451569,435,733,0.600633919,0.494623661
"242",2014,"Oregon","Pacific",3970239,0.539641944,422,782,0.54400003,0
"243",2014,"Pennsylvania","Middle Atlantic",12787209,0.493670886,897,1817,0.505889297,0.268907577
"245",2014,"South Carolina","South Atlantic",4832482,0.636122178,479,753,0.642433226,0.575757563
"246",2014,"South Dakota","West North Central",853175,0.539007092,76,141,0.612068951,0
"247",2014,"Tennessee","East South Central",6549352,0.645937813,644,997,0.643468976,0.625
"248",2014,"Texas","West South Central",26956958,0.551139864,1789,3246,0.56201154,0.419141918
"251",2014,"Virginia","South Atlantic",8326289,0.559428061,626,1119,0.569979727,0.406015038
"252",2014,"Washington","Pacific",7061530,0.495503597,551,1112,0.509980023,0.327272713
"254",2014,"Wisconsin","East North Central",5757564,0.457737321,352,769,0.461643845,0
"256",2015,"Alabama","East South Central",4858979,0.704,528,750,0.71344167,0.645161271
"257",2015,"Alaska","Pacific",738432,0.611940299,123,201,0.703999996,0.390625
"258",2015,"Arizona","Mountain",6828065,0.554075235,707,1276,0.580034435,0.209999993
"259",2015,"Arkansas","West South Central",2978204,0.592720971,342,577,0.603669703,0.5
"260",2015,"California","Pacific",39144818,0.37413007,1559,4167,0.394354373,0.221269295
"261",2015,"Colorado","Mountain",5456574,0.494967978,541,1093,0.501449287,0
"262",2015,"Connecticut","New England",3590886,0.270833333,104,384,0.259154916,0
"263",2015,"Delaware","South Atlantic",945934,0.450819672,55,122,0.479591846,0
"264",2015,"District of Columbia","South Atlantic",672228,0.323529412,11,34,0,0
"265",2015,"Florida","South Atlantic",20271272,0.508580343,1630,3205,0.514592409,0.351851851
"266",2015,"Georgia","South Atlantic",10214860,0.624905087,823,1317,0.6345976,0.576271176
"267",2015,"Hawaii","Pacific",1431603,0.218905473,44,201,0.244186044,0.158878505
"269",2015,"Illinois","East North Central",12859995,0.363169479,495,1363,0.365635186,0.283582091
"270",2015,"Indiana","East North Central",6619680,0.538541667,517,960,0.542354226,0.51219511
"272",2015,"Kansas","West North Central",2911641,0.469601677,224,477,0.47139588,0
"273",2015,"Kentucky","East South Central",4425092,0.643041237,499,776,0.652463377,0
"274",2015,"Louisiana","West South Central",4670724,0.648199446,468,722,0.674679458,0.409090906
"276",2015,"Maryland","South Atlantic",6006401,0.441229656,244,553,0.470982134,0.267326742
"277",2015,"Massachusetts","New England",6794422,0.184087363,118,641,0.186868683,0
"278",2015,"Michigan","East North Central",9922576,0.493228795,692,1403,0.492272019,0.424242437
"279",2015,"Minnesota","West North Central",5489594,0.416438356,304,730,0.425563902,0
"280",2015,"Mississippi","East South Central",2992333,0.6774942,292,431,0.678474128,0.571428597
"281",2015,"Missouri","West North Central",6083672,0.575095057,605,1052,0.583926737,0.392156869
"282",2015,"Montana","Mountain",1032949,0.639705882,174,272,0.663999975,0
"284",2015,"Nevada","Mountain",2890845,0.528880866,293,554,0.546747983,0
"286",2015,"New Jersey","Middle Atlantic",8958013,0.239847716,189,788,0.248563215,0.119565219
"287",2015,"New Mexico","Mountain",2085109,0.55,275,500,0.582191765,0
"288",2015,"New York","Middle Atlantic",19795791,0.255306246,421,1649,0.277340949,0.108000003
"289",2015,"North Carolina","South Atlantic",10042802,0.559743954,787,1406,0.56904763,0.354609936
"291",2015,"Ohio","East North Central",11613423,0.522451456,861,1648,0.520682871,0.471074373
"292",2015,"Oklahoma","West South Central",3911338,0.594663278,468,787,0.61200583,0.414893627
"293",2015,"Oregon","Pacific",4028977,0.49469496,373,754,0.496493697,0
"294",2015,"Pennsylvania","Middle Atlantic",12802503,0.493121693,932,1890,0.496866107,0.288888901
"296",2015,"South Carolina","South Atlantic",4896146,0.632075472,469,742,0.634556592,0.48780489
"297",2015,"South Dakota","West North Central",858469,0.421965318,73,173,0.547826111,0
"298",2015,"Tennessee","East South Central",6600299,0.597378277,638,1068,0.601823688,0.666666687
"299",2015,"Texas","West South Central",27469114,0.587680519,1994,3393,0.594473004,0.451957285
"300",2015,"Utah","Mountain",2995919,0.496825397,313,630,0.511666656,0
"302",2015,"Virginia","South Atlantic",8382993,0.567056706,630,1111,0.584455967,0.315068483
"303",2015,"Washington","Pacific",7170351,0.474801061,537,1131,0.486777663,0.290909082
"305",2015,"Wisconsin","East North Central",5771337,0.483466363,424,877,0.485207111,0
"307",2016,"Alabama","East South Central",4863300,0.697969543,550,788,0.70168066,0.707692325
"308",2016,"Alaska","Pacific",741894,0.585492228,113,193,0.634782612,0.400000006
"309",2016,"Arizona","Mountain",6931071,0.594020456,755,1271,0.636202335,0.09375
"310",2016,"Arkansas","West South Central",2988248,0.596396396,331,555,0.607421875,0.388888896
"311",2016,"California","Pacific",39250017,0.371448533,1595,4294,0.389742196,0.25
"312",2016,"Colorado","Mountain",5540545,0.524828767,613,1168,0.531876147,0.230769232
"313",2016,"Connecticut","New England",3576452,0.277078086,110,397,0.252032518,0
"314",2016,"Delaware","South Atlantic",952065,0.546218487,65,119,0.490566045,0
"315",2016,"District of Columbia","South Atlantic",681170,0,0,40,0,0
"316",2016,"Florida","South Atlantic",20612439,0.531975819,1672,3143,0.537664115,0.452282161
"317",2016,"Georgia","South Atlantic",10310371,0.618168914,871,1409,0.625107467,0.551020384
"318",2016,"Hawaii","Pacific",1428557,0.212643678,37,174,0.178571433,0.180180177
"320",2016,"Illinois","East North Central",12801539,0.357597173,506,1415,0.362001568,0.251851857
"321",2016,"Indiana","East North Central",6633053,0.571566731,591,1034,0.570230603,0.394736856
"323",2016,"Kansas","West North Central",2907289,0.5,257,514,0.50746268,0.5
"324",2016,"Kentucky","East South Central",4436974,0.654761905,495,756,0.664335668,0.393939406
"325",2016,"Louisiana","West South Central",4681666,0.649926145,440,677,0.673611104,0.483146071
"327",2016,"Maryland","South Atlantic",6016447,0.428327645,251,586,0.451754391,0.322314054
"328",2016,"Massachusetts","New England",6811779,0.222222222,140,630,0.215277776,0
"329",2016,"Michigan","East North Central",9928300,0.529151292,717,1355,0.531326294,0.483606547
"330",2016,"Minnesota","West North Central",5519952,0.445637584,332,745,0.466275662,0
"331",2016,"Mississippi","East South Central",2988726,0.699738903,268,383,0.710365832,0.688888907
"332",2016,"Missouri","West North Central",6093000,0.575730735,650,1129,0.580520749,0.402439028
"333",2016,"Montana","Mountain",1042520,0.606741573,162,267,0.622489989,0
"334",2016,"Nebraska","West North Central",1907116,0.471544715,116,246,0.436936945,0
"335",2016,"Nevada","Mountain",2940058,0.519440124,334,643,0.51657939,0.475409836
"337",2016,"New Jersey","Middle Atlantic",8944469,0.256186317,176,687,0.248756215,0.186666667
"338",2016,"New Mexico","Mountain",2081015,0.515923567,243,471,0.550000012,0
"339",2016,"New York","Middle Atlantic",19745289,0.292712067,490,1674,0.316455692,0.119047619
"340",2016,"North Carolina","South Atlantic",10146788,0.57771261,788,1364,0.582309604,0.409090906
"341",2016,"North Dakota","West North Central",757953,0.535714286,75,140,0.508474588,0
"342",2016,"Ohio","East North Central",11614373,0.542790152,926,1706,0.54621309,0.400000006
"343",2016,"Oklahoma","West South Central",3923561,0.635135135,517,814,0.637906671,0.495049506
"344",2016,"Oregon","Pacific",4093465,0.53626943,414,772,0.541723669,0
"345",2016,"Pennsylvania","Middle Atlantic",12784227,0.496187087,976,1967,0.505722046,0.258064508
"347",2016,"South Carolina","South Atlantic",4961119,0.644171779,525,815,0.65061897,0.537500024
"348",2016,"South Dakota","West North Central",865454,0.515337423,84,163,0.589743614,0.279069781
"349",2016,"Tennessee","East South Central",6651194,0.607560756,675,1111,0.613948941,0.422222227
"350",2016,"Texas","West South Central",27862596,0.579643473,2016,3478,0.58053267,0.530864179
"353",2016,"Virginia","South Atlantic",8411808,0.576956148,671,1163,0.588059723,0.411392391
"354",2016,"Washington","Pacific",7288000,0.451358457,515,1141,0.46726191,0.341666669
"356",2016,"Wisconsin","East North Central",5778709,0.53092182,455,857,0.528395057,0.46875
"358",2017,"Alabama","East South Central",4874747,0.685406699,573,836,0.692410111,0.512820542
"359",2017,"Alaska","Pacific",739795,0.595,119,200,0.554621875,0.397058815
"360",2017,"Arizona","Mountain",7016270,0.596834966,792,1327,0.622544825,0.302631587
"361",2017,"Arkansas","West South Central",3004279,0.621236133,392,631,0.623916805,0.51219511
"362",2017,"California","Pacific",39536653,0.373376623,1610,4312,0.393914461,0.261001527
"363",2017,"Colorado","Mountain",5607154,0.50127011,592,1181,0.503629744,0.280701756
"364",2017,"Connecticut","New England",3588184,0.269135802,109,405,0.252717406,0
"365",2017,"Delaware","South Atlantic",961939,0.446428571,50,112,0.393939406,0
"366",2017,"District of Columbia","South Atlantic",693972,0,0,47,0,0
"367",2017,"Florida","South Atlantic",20984400,0.533932445,1723,3227,0.540703535,0.405857742
"368",2017,"Georgia","South Atlantic",10429379,0.625775327,908,1451,0.633165836,0.609756112
"369",2017,"Hawaii","Pacific",1427538,0.13215859,30,227,0.135135129,0.090090089
