"","year","state","handgun","long_gun","other","multiple * 2","Total_sales"
"6991",2010,"Colorado",10056,8534,0,3190,21780
"6992",2010,"Connecticut",3574,2706,34,0,6314
"6993",2010,"Delaware",640,541,20,52,1253
"6994",2010,"District of Columbia",24,1,0,0,25
"6995",2010,"Florida",25428,11640,0,2214,39282
"6996",2010,"Georgia",6477,4553,74,456,11560
"6997",2010,"Guam",23,22,1,0,46
"6998",2010,"Hawaii",0,0,0,0,0
"6999",2010,"Idaho",1868,2970,39,222,5099
"7000",2010,"Illinois",8304,7071,0,624,15999
"7001",2010,"Indiana",7761,6257,216,556,14790
"7002",2010,"Iowa",44,1732,12,6,1794
"7003",2010,"Kansas",3782,3634,102,456,7974
"7004",2010,"Kentucky",5486,5056,79,682,11303
"7005",2010,"Louisiana",6047,4511,146,416,11120
"7006",2010,"Maine",1685,2206,32,176,4099
"7007",2010,"Mariana Islands",0,0,0,0,0
"7008",2010,"Maryland",3220,2724,16,6,5966
"7009",2010,"Massachusetts",2501,1443,79,162,4185
"7010",2010,"Michigan",1552,7455,115,72,9194
"7011",2010,"Minnesota",4672,6238,112,348,11370
"7012",2010,"Mississippi",3540,3054,71,360,7025
"7013",2010,"Missouri",10851,7698,194,856,19599
"7014",2010,"Montana",1977,3426,44,288,5735
"7015",2010,"Nebraska",100,1387,4,2,1493
"7016",2010,"Nevada",3919,2883,0,564,7366
"7017",2010,"New Hampshire",2021,1857,16,12,3906
"7018",2010,"New Jersey",2189,1646,0,154,3989
"7019",2010,"New Mexico",3385,2792,92,336,6605
"7020",2010,"New York",4774,8957,224,146,14101
"7021",2010,"North Carolina",206,7040,150,236,7632
"7022",2010,"North Dakota",744,1874,20,60,2698
"7023",2010,"Ohio",14214,9410,332,1030,24986
"7024",2010,"Oklahoma",7131,4952,160,922,13165
"7025",2010,"Oregon",6477,7125,0,900,14502
"7026",2010,"Pennsylvania",0,41483,0,236,41719
"7027",2010,"Puerto Rico",491,109,2,22,624
"7028",2010,"Rhode Island",569,393,23,134,1119
"7029",2010,"South Carolina",4641,2845,58,310,7854
"7030",2010,"South Dakota",1309,2218,33,158,3718
"7031",2010,"Tennessee",11886,6961,0,836,19683
"7032",2010,"Texas",24476,19923,557,2380,47336
"7033",2010,"Utah",2192,2682,0,216,5090
"7034",2010,"Vermont",761,826,16,70,1673
"7035",2010,"Virgin Islands",11,5,0,2,18
"7036",2010,"Virginia",15652,11525,0,1092,28269
"7037",2010,"Washington",9214,7521,321,608,17664
"7038",2010,"West Virginia",3498,3594,36,438,7566
"7039",2010,"Wisconsin",4439,6821,105,6,11371
"7040",2010,"Wyoming",1193,1687,42,130,3052
"7041",2010,"Alabama",8727,8095,131,788,17741
"7042",2010,"Alaska",2650,3136,64,270,6120
"7043",2010,"Arizona",7787,5097,198,618,13700
"7044",2010,"Arkansas",3865,3833,45,394,8137
"7045",2010,"California",26170,27650,0,0,53820
"7046",2010,"Colorado",10998,9403,0,6416,26817
"7047",2010,"Connecticut",3994,3098,97,0,7189
